# Per-voice summary

| voice | n | peak_mean | rms_mean | hf5k_mean | pitch_med Hz | pitch_range Hz |
|-------|--:|----------:|---------:|----------:|-------------:|---------------:|
| samples-josh-f1 | 26 | 0.950 | 0.348 | 0.231 | 396.2 | 386-409 |
| samples-josh-f2 | 26 | 0.950 | 0.294 | 0.255 | 485.0 | 474-495 |
| samples-josh-f3 | 26 | 0.950 | 0.267 | 0.298 | 345.0 | 335-352 |
| samples-josh-f4 | 26 | 0.950 | 0.342 | 0.212 | 334.7 | 327-341 |
| samples-josh-m1 | 26 | 0.950 | 0.258 | 0.224 | 382.8 | 368-389 |
| samples-josh-m2 | 26 | 0.950 | 0.274 | 0.238 | 351.0 | 345-357 |
| samples-josh-m3 | 26 | 0.950 | 0.330 | 0.242 | 308.7 | 306-312 |
| samples-josh-m4 | 26 | 0.950 | 0.227 | 0.070 | 99.6 | 98-359 |
| samples-josh-korean-f1 | 26 | 0.950 | 0.379 | 0.224 | 396.2 | 384-406 |
| samples-baseline | 26 | 0.950 | 0.235 | 0.242 | 255.5 | 234-306 |
| samples-equalo | 26 | 0.810 | 0.274 | 0.043 | 80.0 | 80-80 |
| samples-digiduncan | 26 | 0.340 | 0.081 | 0.242 | 255.5 | 234-306 |


# Detailed per-letter (josh English voices)


## samples-josh-f1

| ltr | peak | rms | hf5k | dc | f0 Hz |
|-----|-----:|----:|----:|---:|------:|
| a | 0.950 | 0.251 | 0.203 | +0.0000 | 395.1 |
| b | 0.950 | 0.406 | 0.218 | +0.0001 | 403.2 |
| c | 0.950 | 0.438 | 0.388 | +0.0000 | 409.0 |
| d | 0.950 | 0.437 | 0.245 | +0.0000 | 403.2 |
| e | 0.950 | 0.523 | 0.244 | -0.0002 | 398.5 |
| f | 0.950 | 0.245 | 0.200 | -0.0000 | 396.2 |
| g | 0.950 | 0.446 | 0.221 | -0.0000 | 398.5 |
| h | 0.950 | 0.247 | 0.216 | -0.0000 | 398.5 |
| i | 0.950 | 0.325 | 0.180 | -0.0000 | 394.0 |
| j | 0.950 | 0.340 | 0.305 | +0.0000 | 398.5 |
| k | 0.950 | 0.357 | 0.312 | -0.0000 | 400.9 |
| l | 0.950 | 0.211 | 0.175 | +0.0000 | 394.0 |
| m | 0.950 | 0.435 | 0.206 | -0.0001 | 388.3 |
| n | 0.950 | 0.343 | 0.222 | -0.0000 | 391.7 |
| o | 0.950 | 0.286 | 0.156 | +0.0000 | 396.2 |
| p | 0.950 | 0.421 | 0.221 | +0.0000 | 398.5 |
| q | 0.950 | 0.423 | 0.161 | -0.0001 | 394.0 |
| r | 0.950 | 0.210 | 0.175 | +0.0000 | 394.0 |
| s | 0.950 | 0.220 | 0.203 | -0.0000 | 396.2 |
| t | 0.950 | 0.423 | 0.300 | -0.0001 | 400.9 |
| u | 0.950 | 0.362 | 0.207 | -0.0000 | 396.2 |
| v | 0.950 | 0.391 | 0.287 | -0.0000 | 397.4 |
| w | 0.950 | 0.353 | 0.207 | -0.0000 | 396.2 |
| x | 0.950 | 0.306 | 0.239 | +0.0005 | 394.0 |
| y | 0.950 | 0.265 | 0.175 | -0.0006 | 386.1 |
| z | 0.950 | 0.383 | 0.347 | -0.0000 | 396.2 |

## samples-josh-f2

| ltr | peak | rms | hf5k | dc | f0 Hz |
|-----|-----:|----:|----:|---:|------:|
| a | 0.950 | 0.257 | 0.146 | +0.0000 | 479.5 |
| b | 0.950 | 0.381 | 0.377 | -0.0000 | 485.0 |
| c | 0.950 | 0.224 | 0.646 | -0.0000 | 487.8 |
| d | 0.950 | 0.315 | 0.313 | -0.0000 | 485.0 |
| e | 0.950 | 0.279 | 0.410 | -0.0000 | 490.7 |
| f | 0.950 | 0.288 | 0.145 | -0.0000 | 479.5 |
| g | 0.950 | 0.313 | 0.226 | -0.0000 | 490.7 |
| h | 0.950 | 0.299 | 0.127 | -0.0000 | 490.7 |
| i | 0.950 | 0.315 | 0.136 | -0.0000 | 487.8 |
| j | 0.950 | 0.271 | 0.259 | -0.0000 | 485.0 |
| k | 0.950 | 0.270 | 0.163 | -0.0000 | 490.7 |
| l | 0.950 | 0.232 | 0.152 | -0.0000 | 482.2 |
| m | 0.950 | 0.202 | 0.306 | -0.0000 | 490.7 |
| n | 0.950 | 0.313 | 0.088 | -0.0000 | 478.1 |
| o | 0.950 | 0.283 | 0.149 | -0.0000 | 482.2 |
| p | 0.950 | 0.291 | 0.449 | -0.0000 | 485.0 |
| q | 0.950 | 0.344 | 0.253 | -0.0001 | 487.8 |
| r | 0.950 | 0.331 | 0.134 | -0.0000 | 482.2 |
| s | 0.950 | 0.216 | 0.334 | -0.0000 | 493.5 |
| t | 0.950 | 0.412 | 0.346 | -0.0000 | 494.9 |
| u | 0.950 | 0.404 | 0.186 | -0.0000 | 483.6 |
| v | 0.950 | 0.268 | 0.367 | -0.0000 | 482.2 |
| w | 0.950 | 0.312 | 0.077 | -0.0000 | 482.2 |
| x | 0.950 | 0.286 | 0.147 | +0.0002 | 474.0 |
| y | 0.950 | 0.287 | 0.292 | -0.0005 | 493.5 |
| z | 0.950 | 0.260 | 0.391 | -0.0000 | 487.8 |

## samples-josh-f3

| ltr | peak | rms | hf5k | dc | f0 Hz |
|-----|-----:|----:|----:|---:|------:|
| a | 0.950 | 0.340 | 0.314 | -0.0001 | 345.0 |
| b | 0.950 | 0.179 | 0.528 | -0.0000 | 347.0 |
| c | 0.950 | 0.193 | 0.568 | -0.0000 | 351.0 |
| d | 0.950 | 0.212 | 0.639 | -0.0000 | 345.0 |
| e | 0.950 | 0.298 | 0.489 | -0.0000 | 345.0 |
| f | 0.950 | 0.300 | 0.274 | -0.0000 | 345.0 |
| g | 0.950 | 0.298 | 0.323 | -0.0000 | 345.0 |
| h | 0.950 | 0.227 | 0.338 | -0.0000 | 345.0 |
| i | 0.950 | 0.340 | 0.205 | +0.0000 | 339.0 |
| j | 0.950 | 0.310 | 0.231 | -0.0000 | 344.0 |
| k | 0.950 | 0.243 | 0.280 | -0.0000 | 345.0 |
| l | 0.950 | 0.212 | 0.167 | -0.0001 | 337.1 |
| m | 0.950 | 0.278 | 0.125 | +0.0000 | 345.0 |
| n | 0.950 | 0.245 | 0.200 | -0.0000 | 335.1 |
| o | 0.950 | 0.352 | 0.088 | -0.0000 | 338.1 |
| p | 0.950 | 0.237 | 0.328 | +0.0000 | 352.0 |
| q | 0.950 | 0.315 | 0.383 | -0.0001 | 348.0 |
| r | 0.950 | 0.248 | 0.154 | +0.0000 | 343.0 |
| s | 0.950 | 0.267 | 0.266 | -0.0000 | 345.0 |
| t | 0.950 | 0.302 | 0.207 | -0.0001 | 347.0 |
| u | 0.950 | 0.326 | 0.258 | -0.0000 | 345.0 |
| v | 0.950 | 0.187 | 0.405 | -0.0000 | 343.0 |
| w | 0.950 | 0.312 | 0.085 | -0.0000 | 352.0 |
| x | 0.950 | 0.298 | 0.252 | -0.0001 | 347.0 |
| y | 0.950 | 0.216 | 0.193 | +0.0000 | 344.0 |
| z | 0.950 | 0.214 | 0.452 | -0.0000 | 345.0 |

## samples-josh-f4

| ltr | peak | rms | hf5k | dc | f0 Hz |
|-----|-----:|----:|----:|---:|------:|
| a | 0.950 | 0.386 | 0.232 | -0.0001 | 334.2 |
| b | 0.950 | 0.321 | 0.154 | +0.0000 | 331.3 |
| c | 0.950 | 0.345 | 0.297 | +0.0000 | 335.1 |
| d | 0.950 | 0.327 | 0.268 | -0.0000 | 335.1 |
| e | 0.950 | 0.339 | 0.364 | -0.0001 | 337.1 |
| f | 0.950 | 0.325 | 0.130 | -0.0000 | 337.1 |
| g | 0.950 | 0.343 | 0.455 | -0.0000 | 335.1 |
| h | 0.950 | 0.288 | 0.118 | -0.0000 | 331.3 |
| i | 0.950 | 0.337 | 0.253 | -0.0000 | 341.0 |
| j | 0.950 | 0.338 | 0.248 | -0.0000 | 335.1 |
| k | 0.950 | 0.315 | 0.197 | -0.0000 | 335.1 |
| l | 0.950 | 0.322 | 0.171 | -0.0000 | 335.1 |
| m | 0.950 | 0.441 | 0.059 | -0.0000 | 333.2 |
| n | 0.950 | 0.424 | 0.221 | -0.0001 | 335.1 |
| o | 0.950 | 0.349 | 0.143 | -0.0000 | 333.2 |
| p | 0.950 | 0.284 | 0.158 | -0.0001 | 340.0 |
| q | 0.950 | 0.405 | 0.167 | -0.0000 | 333.2 |
| r | 0.950 | 0.280 | 0.109 | -0.0002 | 327.5 |
| s | 0.950 | 0.305 | 0.243 | -0.0000 | 338.1 |
| t | 0.950 | 0.351 | 0.321 | -0.0001 | 329.4 |
| u | 0.950 | 0.396 | 0.115 | +0.0000 | 333.2 |
| v | 0.950 | 0.383 | 0.238 | +0.0000 | 335.1 |
| w | 0.950 | 0.258 | 0.117 | -0.0000 | 333.2 |
| x | 0.950 | 0.364 | 0.325 | +0.0013 | 333.2 |
| y | 0.950 | 0.325 | 0.133 | -0.0011 | 333.2 |
| z | 0.950 | 0.343 | 0.266 | -0.0000 | 331.3 |

## samples-josh-m1

| ltr | peak | rms | hf5k | dc | f0 Hz |
|-----|-----:|----:|----:|---:|------:|
| a | 0.950 | 0.251 | 0.095 | -0.0000 | 380.5 |
| b | 0.950 | 0.291 | 0.200 | -0.0000 | 375.1 |
| c | 0.950 | 0.220 | 0.475 | -0.0000 | 381.6 |
| d | 0.950 | 0.308 | 0.188 | +0.0000 | 367.6 |
| e | 0.950 | 0.282 | 0.266 | -0.0000 | 382.8 |
| f | 0.950 | 0.253 | 0.096 | -0.0000 | 387.2 |
| g | 0.950 | 0.310 | 0.428 | -0.0000 | 387.2 |
| h | 0.950 | 0.252 | 0.154 | -0.0000 | 374.0 |
| i | 0.950 | 0.240 | 0.122 | +0.0000 | 389.4 |
| j | 0.950 | 0.168 | 0.330 | -0.0000 | 387.2 |
| k | 0.950 | 0.236 | 0.141 | -0.0000 | 389.4 |
| l | 0.950 | 0.194 | 0.125 | -0.0000 | 377.3 |
| m | 0.950 | 0.327 | 0.148 | -0.0000 | 381.6 |
| n | 0.950 | 0.181 | 0.253 | -0.0000 | 382.8 |
